"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Males"	"10 Cáceres"	"2014QII"	"Active population"	105.6
"Females"	"10 Cáceres"	"2014QII"	"Active population"	81.8
"Males"	"11 Cádiz"	"2014QII"	"Active population"	326.6
"Females"	"11 Cádiz"	"2014QII"	"Active population"	265.4
"Males"	"39 Cantabria"	"2014QII"	"Active population"	152
"Females"	"39 Cantabria"	"2014QII"	"Active population"	127.3
"Males"	"12 Castellón/Castelló"	"2014QII"	"Active population"	159
"Females"	"12 Castellón/Castelló"	"2014QII"	"Active population"	129.4
"Males"	"13 Ciudad Real"	"2014QII"	"Active population"	139.9
"Females"	"13 Ciudad Real"	"2014QII"	"Active population"	102.6
"Males"	"14 Córdoba"	"2014QII"	"Active population"	207.7
"Females"	"14 Córdoba"	"2014QII"	"Active population"	161.8
"Males"	"15 Coruña, A"	"2014QII"	"Active population"	282.3
"Females"	"15 Coruña, A"	"2014QII"	"Active population"	259.9
"Males"	"16 Cuenca"	"2014QII"	"Active population"	56.5
"Females"	"16 Cuenca"	"2014QII"	"Active population"	39.8
"Males"	"20 Gipuzkoa"	"2014QII"	"Active population"	177.4
"Females"	"20 Gipuzkoa"	"2014QII"	"Active population"	152.9
"Males"	"17 Girona"	"2014QII"	"Active population"	213.8
"Females"	"17 Girona"	"2014QII"	"Active population"	181.6
"Males"	"18 Granada"	"2014QII"	"Active population"	247.3
"Females"	"18 Granada"	"2014QII"	"Active population"	199.4
"Males"	"19 Guadalajara"	"2014QII"	"Active population"	73.6
"Females"	"19 Guadalajara"	"2014QII"	"Active population"	61.2
"Males"	"21 Huelva"	"2014QII"	"Active population"	142
"Females"	"21 Huelva"	"2014QII"	"Active population"	115.4
"Males"	"22 Huesca"	"2014QII"	"Active population"	57.5
"Females"	"22 Huesca"	"2014QII"	"Active population"	48.1
"Males"	"23 Jaén"	"2014QII"	"Active population"	164.7
"Females"	"23 Jaén"	"2014QII"	"Active population"	126.1
"Males"	"24 León"	"2014QII"	"Active population"	117.7
"Females"	"24 León"	"2014QII"	"Active population"	99
"Males"	"25 Lleida"	"2014QII"	"Active population"	119.4
"Females"	"25 Lleida"	"2014QII"	"Active population"	97.4
"Males"	"27 Lugo"	"2014QII"	"Active population"	80.8
"Females"	"27 Lugo"	"2014QII"	"Active population"	74.4
"Males"	"28 Madrid"	"2014QII"	"Active population"	1726.4
"Females"	"28 Madrid"	"2014QII"	"Active population"	1593.9
"Males"	"29 Málaga"	"2014QII"	"Active population"	427
"Females"	"29 Málaga"	"2014QII"	"Active population"	366.4
"Males"	"30 Murcia"	"2014QII"	"Active population"	403
"Females"	"30 Murcia"	"2014QII"	"Active population"	319.8
"Males"	"31 Navarra"	"2014QII"	"Active population"	169.5
"Females"	"31 Navarra"	"2014QII"	"Active population"	142
"Males"	"32 Ourense"	"2014QII"	"Active population"	68.7
"Females"	"32 Ourense"	"2014QII"	"Active population"	63.9
"Males"	"34 Palencia"	"2014QII"	"Active population"	41.9
"Females"	"34 Palencia"	"2014QII"	"Active population"	32.3
"Males"	"35 Palmas, Las"	"2014QII"	"Active population"	311.9
"Females"	"35 Palmas, Las"	"2014QII"	"Active population"	262.5
"Males"	"36 Pontevedra"	"2014QII"	"Active population"	235.1
"Females"	"36 Pontevedra"	"2014QII"	"Active population"	210.7
"Males"	"26 Rioja, La"	"2014QII"	"Active population"	85.2
"Females"	"26 Rioja, La"	"2014QII"	"Active population"	72.1
"Males"	"37 Salamanca"	"2014QII"	"Active population"	84.5
"Females"	"37 Salamanca"	"2014QII"	"Active population"	72.8
"Males"	"38 Santa Cruz de Tenerife"	"2014QII"	"Active population"	278.3
"Females"	"38 Santa Cruz de Tenerife"	"2014QII"	"Active population"	239.2
"Males"	"40 Segovia"	"2014QII"	"Active population"	44.2
"Females"	"40 Segovia"	"2014QII"	"Active population"	34.5
"Males"	"41 Sevilla"	"2014QII"	"Active population"	493.4
"Females"	"41 Sevilla"	"2014QII"	"Active population"	434.1
"Males"	"42 Soria"	"2014QII"	"Active population"	23.8
"Females"	"42 Soria"	"2014QII"	"Active population"	20.5
"Males"	"43 Tarragona"	"2014QII"	"Active population"	222.5
"Females"	"43 Tarragona"	"2014QII"	"Active population"	184.9
"Males"	"44 Teruel"	"2014QII"	"Active population"	36
"Females"	"44 Teruel"	"2014QII"	"Active population"	27.9
"Males"	"45 Toledo"	"2014QII"	"Active population"	196.1
"Females"	"45 Toledo"	"2014QII"	"Active population"	147.3
"Males"	"46 Valencia/València"	"2014QII"	"Active population"	689.5
"Females"	"46 Valencia/València"	"2014QII"	"Active population"	571.8
"Males"	"47 Valladolid"	"2014QII"	"Active population"	138.2
"Females"	"47 Valladolid"	"2014QII"	"Active population"	114.7
"Males"	"49 Zamora"	"2014QII"	"Active population"	45.3
"Females"	"49 Zamora"	"2014QII"	"Active population"	36.4
"Males"	"50 Zaragoza"	"2014QII"	"Active population"	263.1
"Females"	"50 Zaragoza"	"2014QII"	"Active population"	221.6
"Males"	"51 Ceuta"	"2014QII"	"Active population"	22.2
"Females"	"51 Ceuta"	"2014QII"	"Active population"	15
"Males"	"52 Melilla"	"2014QII"	"Active population"	19.2
"Females"	"52 Melilla"	"2014QII"	"Active population"	14.8
"Males"	"02 Albacete"	"2014QI"	"Active population"	102.8
"Females"	"02 Albacete"	"2014QI"	"Active population"	85.3
"Males"	"03 Alicante/Alacant"	"2014QI"	"Active population"	484.4
"Females"	"03 Alicante/Alacant"	"2014QI"	"Active population"	403.9
"Males"	"04 Almería"	"2014QI"	"Active population"	207.3
"Females"	"04 Almería"	"2014QI"	"Active population"	154.5
"Males"	"01 Araba/Álava"	"2014QI"	"Active population"	84.5
"Females"	"01 Araba/Álava"	"2014QI"	"Active population"	77.5
"Males"	"33 Asturias"	"2014QI"	"Active population"	251.5
"Females"	"33 Asturias"	"2014QI"	"Active population"	228.9
"Males"	"05 Ávila"	"2014QI"	"Active population"	44.6
"Females"	"05 Ávila"	"2014QI"	"Active population"	32.3
"Males"	"06 Badajoz"	"2014QI"	"Active population"	176.2
"Females"	"06 Badajoz"	"2014QI"	"Active population"	138
"Males"	"07 Balears, Illes"	"2014QI"	"Active population"	310.8
"Females"	"07 Balears, Illes"	"2014QI"	"Active population"	260.2
"Males"	"08 Barcelona"	"2014QI"	"Active population"	1461.4
"Females"	"08 Barcelona"	"2014QI"	"Active population"	1347.3
"Males"	"48 Bizkaia"	"2014QI"	"Active population"	284.1
"Females"	"48 Bizkaia"	"2014QI"	"Active population"	257
"Males"	"09 Burgos"	"2014QI"	"Active population"	98.7
"Females"	"09 Burgos"	"2014QI"	"Active population"	83.2
"Males"	"10 Cáceres"	"2014QI"	"Active population"	103
"Females"	"10 Cáceres"	"2014QI"	"Active population"	82.7
"Males"	"11 Cádiz"	"2014QI"	"Active population"	326.4
"Females"	"11 Cádiz"	"2014QI"	"Active population"	261.7
"Males"	"39 Cantabria"	"2014QI"	"Active population"	150.6
"Females"	"39 Cantabria"	"2014QI"	"Active population"	128.1
"Males"	"12 Castellón/Castelló"	"2014QI"	"Active population"	154.7
"Females"	"12 Castellón/Castelló"	"2014QI"	"Active population"	132.1
"Males"	"13 Ciudad Real"	"2014QI"	"Active population"	138.5
"Females"	"13 Ciudad Real"	"2014QI"	"Active population"	103.9
"Males"	"14 Córdoba"	"2014QI"	"Active population"	208.1
"Females"	"14 Córdoba"	"2014QI"	"Active population"	167.9
"Males"	"15 Coruña, A"	"2014QI"	"Active population"	278.8
"Females"	"15 Coruña, A"	"2014QI"	"Active population"	257.8
"Males"	"16 Cuenca"	"2014QI"	"Active population"	58.1
"Females"	"16 Cuenca"	"2014QI"	"Active population"	40.1
"Males"	"20 Gipuzkoa"	"2014QI"	"Active population"	175.9
"Females"	"20 Gipuzkoa"	"2014QI"	"Active population"	151.5
"Males"	"17 Girona"	"2014QI"	"Active population"	206.1
"Females"	"17 Girona"	"2014QI"	"Active population"	179.8
"Males"	"18 Granada"	"2014QI"	"Active population"	240.5
"Females"	"18 Granada"	"2014QI"	"Active population"	197.5
"Males"	"19 Guadalajara"	"2014QI"	"Active population"	72.4
"Females"	"19 Guadalajara"	"2014QI"	"Active population"	59.3
"Males"	"21 Huelva"	"2014QI"	"Active population"	134.1
"Females"	"21 Huelva"	"2014QI"	"Active population"	106.4
"Males"	"22 Huesca"	"2014QI"	"Active population"	58.8
"Females"	"22 Huesca"	"2014QI"	"Active population"	46.3
"Males"	"23 Jaén"	"2014QI"	"Active population"	170.1
"Females"	"23 Jaén"	"2014QI"	"Active population"	130.4
"Males"	"24 León"	"2014QI"	"Active population"	113.2
"Females"	"24 León"	"2014QI"	"Active population"	98.8
"Males"	"25 Lleida"	"2014QI"	"Active population"	118.6
"Females"	"25 Lleida"	"2014QI"	"Active population"	92.6
"Males"	"27 Lugo"	"2014QI"	"Active population"	82.9
"Females"	"27 Lugo"	"2014QI"	"Active population"	76.3
"Males"	"28 Madrid"	"2014QI"	"Active population"	1705.2
"Females"	"28 Madrid"	"2014QI"	"Active population"	1607.8
"Males"	"29 Málaga"	"2014QI"	"Active population"	423
"Females"	"29 Málaga"	"2014QI"	"Active population"	359.4
"Males"	"30 Murcia"	"2014QI"	"Active population"	404.8
"Females"	"30 Murcia"	"2014QI"	"Active population"	318.5
"Males"	"31 Navarra"	"2014QI"	"Active population"	170.1
"Females"	"31 Navarra"	"2014QI"	"Active population"	144
"Males"	"32 Ourense"	"2014QI"	"Active population"	68.9
"Females"	"32 Ourense"	"2014QI"	"Active population"	64.2
"Males"	"34 Palencia"	"2014QI"	"Active population"	41.8
"Females"	"34 Palencia"	"2014QI"	"Active population"	32.7
"Males"	"35 Palmas, Las"	"2014QI"	"Active population"	314.1
"Females"	"35 Palmas, Las"	"2014QI"	"Active population"	263.9
"Males"	"36 Pontevedra"	"2014QI"	"Active population"	239.9
"Females"	"36 Pontevedra"	"2014QI"	"Active population"	211
"Males"	"26 Rioja, La"	"2014QI"	"Active population"	84.4
"Females"	"26 Rioja, La"	"2014QI"	"Active population"	71.5
"Males"	"37 Salamanca"	"2014QI"	"Active population"	84.3
"Females"	"37 Salamanca"	"2014QI"	"Active population"	71.7
"Males"	"38 Santa Cruz de Tenerife"	"2014QI"	"Active population"	272.6
"Females"	"38 Santa Cruz de Tenerife"	"2014QI"	"Active population"	242.9
"Males"	"40 Segovia"	"2014QI"	"Active population"	44.8
"Females"	"40 Segovia"	"2014QI"	"Active population"	33.9
"Males"	"41 Sevilla"	"2014QI"	"Active population"	490.4
"Females"	"41 Sevilla"	"2014QI"	"Active population"	438.3
"Males"	"42 Soria"	"2014QI"	"Active population"	24.3
"Females"	"42 Soria"	"2014QI"	"Active population"	20.3
"Males"	"43 Tarragona"	"2014QI"	"Active population"	219.7
"Females"	"43 Tarragona"	"2014QI"	"Active population"	175.4
"Males"	"44 Teruel"	"2014QI"	"Active population"	36.1
"Females"	"44 Teruel"	"2014QI"	"Active population"	26.6
"Males"	"45 Toledo"	"2014QI"	"Active population"	200.5
"Females"	"45 Toledo"	"2014QI"	"Active population"	151
"Males"	"46 Valencia/València"	"2014QI"	"Active population"	677.1
"Females"	"46 Valencia/València"	"2014QI"	"Active population"	583.6
"Males"	"47 Valladolid"	"2014QI"	"Active population"	138.3
"Females"	"47 Valladolid"	"2014QI"	"Active population"	115.7
"Males"	"49 Zamora"	"2014QI"	"Active population"	44.1
"Females"	"49 Zamora"	"2014QI"	"Active population"	36.1
"Males"	"50 Zaragoza"	"2014QI"	"Active population"	258.1
"Females"	"50 Zaragoza"	"2014QI"	"Active population"	223.5
"Males"	"51 Ceuta"	"2014QI"	"Active population"	22.5
"Females"	"51 Ceuta"	"2014QI"	"Active population"	14.4
"Males"	"52 Melilla"	"2014QI"	"Active population"	19.9
"Females"	"52 Melilla"	"2014QI"	"Active population"	14.3
"Males"	"02 Albacete"	"2013QIV"	"Active population"	104.4
"Females"	"02 Albacete"	"2013QIV"	"Active population"	84.7
"Males"	"03 Alicante/Alacant"	"2013QIV"	"Active population"	499
"Females"	"03 Alicante/Alacant"	"2013QIV"	"Active population"	409.4
"Males"	"04 Almería"	"2013QIV"	"Active population"	205.2
"Females"	"04 Almería"	"2013QIV"	"Active population"	152.9
"Males"	"01 Araba/Álava"	"2013QIV"	"Active population"	87.6
"Females"	"01 Araba/Álava"	"2013QIV"	"Active population"	75.8
"Males"	"33 Asturias"	"2013QIV"	"Active population"	256.3
"Females"	"33 Asturias"	"2013QIV"	"Active population"	227.9
"Males"	"05 Ávila"	"2013QIV"	"Active population"	46.1
"Females"	"05 Ávila"	"2013QIV"	"Active population"	32.8
"Males"	"06 Badajoz"	"2013QIV"	"Active population"	175.4
"Females"	"06 Badajoz"	"2013QIV"	"Active population"	142.6
