arr_port^pax
0^LHR     ^81439.0
335^SEZ     ^2340.0
336^CAE     ^2320.0
337^SAW     ^2310.0
338^GDN     ^2300.0
339^CNF     ^2280.0
340^XNA     ^2280.0
341^ATQ     ^2270.0
342^ALB     ^2260.0
343^CTS     ^2260.0
344^KIV     ^2230.0
345^BUR     ^2230.0
346^SSH     ^2220.0
347^TAO     ^2210.0
348^BGI     ^2200.0
349^TYS     ^2190.0
350^SRQ     ^2180.0
351^SXB     ^2170.0
352^CAG     ^2160.0
353^PWM     ^2160.0
354^MFM     ^2160.0
355^SMR     ^2160.0
356^KTA     ^2150.0
357^SXM     ^2130.0
358^IGU     ^2130.0
359^ICT     ^2130.0
360^SIP     ^2120.0
361^HBA     ^2110.0
362^UVF     ^2100.0
363^MVD     ^2100.0
364^PPT     ^2090.0
365^KBV     ^2080.0
366^TFS     ^2060.0
367^BGA     ^2050.0
368^SJJ     ^2040.0
369^IGR     ^2020.0
370^PUS     ^2020.0
371^BLL     ^2010.0
372^BJX     ^2010.0
373^LGB     ^2000.0
374^OOL     ^1980.0
375^GEO     ^1980.0
376^IXE     ^1960.0
377^PMV     ^1960.0
378^ANU     ^1920.0
379^BSB     ^1920.0
380^VNO     ^1910.0
381^JAI     ^1910.0
382^RHO     ^1910.0
383^POA     ^1910.0
384^ODS     ^1900.0
385^CCP     ^1890.0
386^ABV     ^1880.0
387^BSL     ^1860.0
388^JTR     ^1860.0
389^USH     ^1850.0
390^HSV     ^1850.0
391^GUM     ^1850.0
392^BRE     ^1840.0
393^VRN     ^1830.0
394^COR     ^1810.0
395^AHB     ^1810.0
396^NGO     ^1790.0
397^PEI     ^1790.0
398^VVI     ^1790.0
399^FAI     ^1780.0
400^MRV     ^1760.0
401^MHT     ^1760.0
402^FUE     ^1760.0
403^MDZ     ^1730.0
404^GCM     ^1730.0
405^CZL     ^1730.0
406^PDL     ^1700.0
407^GOA     ^1700.0
408^EYW     ^1690.0
409^KUF     ^1690.0
410^PNH     ^1690.0
411^SSA     ^1680.0
412^LIR     ^1680.0
413^XMN     ^1670.0
414^FAO     ^1670.0
415^AAQ     ^1650.0
416^PEN     ^1640.0
417^TOS     ^1630.0
418^AQP     ^1630.0
419^CZM     ^1620.0
420^PEW     ^1620.0
421^MMX     ^1610.0
422^OVB     ^1600.0
423^TAS     ^1600.0
424^MPM     ^1590.0
425^ANF     ^1580.0
426^CTU     ^1580.0
427^HRE     ^1580.0
428^PLS     ^1580.0
429^BTR     ^1580.0
430^XPG     ^1570.0
431^HPN     ^1560.0
432^ACE     ^1550.0
433^DJE     ^1530.0
434^CAK     ^1530.0
435^AJA     ^1520.0
436^HGH     ^1520.0
437^LUN     ^1520.0
438^CJC     ^1510.0
439^GMP     ^1510.0
440^BDA     ^1510.0
441^GPT     ^1500.0
442^AGA     ^1490.0
443^JAN     ^1490.0
444^KHH     ^1490.0
445^YQB     ^1480.0
446^VVO     ^1480.0
447^SHA     ^1480.0
448^SZX     ^1480.0
449^WDH     ^1480.0
450^FAT     ^1480.0
451^DBV     ^1460.0
452^TGD     ^1450.0
453^BTV     ^1450.0
454^VPS     ^1450.0
455^BZE     ^1450.0
456^TGU     ^1450.0
457^IDR     ^1440.0
458^BRC     ^1430.0
459^KBL     ^1420.0
460^TLH     ^1420.0
461^SLA     ^1420.0
462^WRO     ^1420.0
463^TNR     ^1420.0
464^BLA     ^1410.0
465^DRW     ^1400.0
466^GAU     ^1400.0
467^BZN     ^1400.0
468^ASU     ^1400.0
469^YQR     ^1400.0
470^JRO     ^1380.0
471^POM     ^1380.0
472^ZNE     ^1380.0
473^PZO     ^1370.0
474^DRS     ^1370.0
475^LJU     ^1370.0
476^PRN     ^1360.0
477^TSV     ^1360.0
478^FAY     ^1360.0
479^ZQN     ^1360.0
480^SKP     ^1350.0
481^OUD     ^1350.0
482^DAL     ^1340.0
483^SPU     ^1340.0
484^ELS     ^1340.0
485^BUQ     ^1340.0
486^RPR     ^1330.0
487^VGO     ^1320.0
488^SAP     ^1320.0
489^VNS     ^1320.0
490^BHD     ^1300.0
491^SZG     ^1300.0
492^OLB     ^1300.0
493^VAR     ^1290.0
494^YTZ     ^1290.0
495^FSD     ^1290.0
496^IEV     ^1280.0
497^PAT     ^1280.0
498^YLW     ^1280.0
499^BKI     ^1280.0
500^BEN     ^1280.0
501^NOU     ^1270.0
502^LPB     ^1270.0
503^DAB     ^1260.0
504^BDS     ^1260.0
505^IXC     ^1260.0
506^JAC     ^1260.0
507^STI     ^1250.0
508^TUU     ^1250.0
509^SBA     ^1240.0
510^FOC     ^1230.0
511^ILM     ^1220.0
512^PBM     ^1210.0
513^CGP     ^1210.0
514^PMC     ^1210.0
515^BES     ^1200.0
516^YYT     ^1200.0
517^SGF     ^1190.0
518^NKG     ^1180.0
519^YYJ     ^1180.0
520^NCL     ^1180.0
521^HRG     ^1170.0
522^PSC     ^1170.0
523^DLC     ^1170.0
524^MAR     ^1160.0
525^FPO     ^1160.0
526^TRU     ^1150.0
527^LIL     ^1150.0
528^DUD     ^1150.0
529^MPL     ^1140.0
530^PIU     ^1130.0
531^VTZ     ^1130.0
532^LCG     ^1120.0
533^TIJ     ^1120.0
534^KHV     ^1120.0
535^AMA     ^1120.0
536^CUC     ^1110.0
537^BIQ     ^1110.0
538^KJA     ^1100.0
539^RAP     ^1100.0
540^UDR     ^1100.0
541^SAH     ^1080.0
542^CKY     ^1080.0
543^BZV     ^1080.0
544^TAB     ^1080.0
545^VER     ^1070.0
546^BIL     ^1070.0
547^KGL     ^1060.0
548^MTR     ^1050.0
549^BGW     ^1050.0
550^BOO     ^1050.0
551^CUU     ^1040.0
552^VSA     ^1040.0
553^CPO     ^1040.0
554^CHQ     ^1040.0
555^SNN     ^1040.0
556^PHE     ^1030.0
557^FRU     ^1030.0
558^BKO     ^1030.0
559^DLA     ^1030.0
560^DOK     ^1020.0
561^ROA     ^1020.0
562^ZYR     ^1020.0
563^LEX     ^1020.0
564^PHF     ^1010.0
565^OVD     ^1010.0
566^HMO     ^1010.0
567^MAH     ^1000.0
568^GIZ     ^1000.0
569^IXB     ^1000.0
570^IQT     ^1000.0
571^KMG     ^1000.0
572^COO     ^990.0
573^CHA     ^990.0
574^LEJ     ^990.0
575^CJB     ^980.0
576^FTE     ^980.0
577^MFE     ^980.0
578^MYY     ^980.0
579^ADA     ^980.0
580^JER     ^980.0
581^ECP     ^980.0
582^SHE     ^980.0
583^GRX     ^970.0
584^GLT     ^960.0
585^BJV     ^960.0
586^MOB     ^960.0
587^RBA     ^960.0
588^PUF     ^960.0
589^CWB     ^950.0
590^IQQ     ^950.0
591^RAJ     ^950.0
592^ZNZ     ^940.0
593^MJT     ^940.0
594^NAG     ^930.0
595^REC     ^930.0
596^EAM     ^930.0
597^MID     ^920.0
598^FLN     ^920.0
599^BRS     ^920.0
600^VTE     ^920.0
601^BIA     ^920.0
602^KRS     ^920.0
603^FIH     ^910.0
604^MIR     ^910.0
605^ULN     ^910.0
606^KGD     ^910.0
607^EBL     ^910.0
608^PSA     ^910.0
609^TIV     ^910.0
610^CUE     ^910.0
611^ASE     ^900.0
612^JMK     ^900.0
613^BJM     ^890.0
614^YMM     ^890.0
615^LLW     ^890.0
616^YXE     ^890.0
617^REG     ^890.0
618^LBV     ^880.0
619^NAT     ^880.0
620^SUB     ^880.0
621^LFT     ^880.0
622^SFA     ^870.0
623^TSR     ^870.0
624^CEK     ^870.0
625^MLI     ^870.0
626^TRZ     ^860.0
627^ZYL     ^860.0
628^HLA     ^860.0
629^FOR     ^860.0
630^ITO     ^860.0
631^CHO     ^860.0
632^VAA     ^860.0
633^SHV     ^860.0
634^FUK     ^860.0
635^FSC     ^860.0
636^LWO     ^850.0
637^SDK     ^850.0
638^MMK     ^850.0
639^UFA     ^850.0
640^SLL     ^840.0
641^MZT     ^840.0
642^KKC     ^840.0
643^EUG     ^840.0
644^BBI     ^840.0
645^ABE     ^830.0
646^POZ     ^830.0
647^AVL     ^830.0
648^IXU     ^830.0
649^CRW     ^820.0
650^HAU     ^820.0
651^CID     ^820.0
652^CKG     ^820.0
653^PBO     ^810.0
654^AAE     ^810.0
655^SHJ     ^810.0
656^PUQ     ^810.0
657^KZN     ^810.0
658^GRK     ^810.0
659^SLP     ^810.0
660^GRB     ^810.0
661^GPS     ^800.0
662^PSO     ^800.0
663^GRJ     ^800.0
664^AGU     ^800.0
665^KRN     ^800.0
666^FWA     ^800.0
667^MSU     ^800.0
668^IXM     ^800.0
669^OUA     ^790.0
670^GUW     ^790.0
671^BHO     ^780.0
672^TRS     ^780.0
673^MLB     ^780.0
674^REP     ^770.0
675^MKY     ^770.0
676^PHC     ^770.0
677^KCH     ^770.0
678^AHO     ^770.0
679^JUB     ^770.0
680^BJA     ^760.0
681^LBA     ^760.0
682^LBB     ^760.0
683^FAR     ^760.0
684^PNR     ^760.0
685^DED     ^760.0
686^TJM     ^760.0
687^AES     ^750.0
688^AAL     ^750.0
689^MAF     ^750.0
690^CLJ     ^750.0
691^ATW     ^750.0
692^AEX     ^750.0
693^BRM     ^750.0
694^NSI     ^740.0
695^TSA     ^740.0
696^OMS     ^730.0
697^BSR     ^730.0
698^RAI     ^730.0
699^VIX     ^730.0
700^NKC     ^730.0
701^BIS     ^720.0
702^LGK     ^720.0
703^HAS     ^720.0
704^XIY     ^720.0
705^APW     ^720.0
706^AVP     ^710.0
707^SPC     ^710.0
708^MAO     ^710.0
709^CRP     ^700.0
710^GRZ     ^700.0
711^CRD     ^690.0
712^ACA     ^690.0
713^TLN     ^690.0
714^XRY     ^690.0
715^IAS     ^680.0
716^UME     ^680.0
717^BDQ     ^680.0
718^ZIH     ^680.0
719^BJL     ^680.0
720^TLM     ^680.0
721^CGO     ^680.0
722^GOJ     ^680.0
723^KGI     ^670.0
724^VLN     ^670.0
725^SMS     ^670.0
726^TNG     ^670.0
727^SID     ^670.0
728^GJT     ^660.0
729^MHD     ^660.0
730^CEI     ^660.0
731^DAD     ^660.0
732^PKC     ^660.0
733^GNV     ^650.0
734^TRF     ^650.0
735^NNG     ^650.0
736^OAX     ^650.0
737^GBE     ^640.0
738^POP     ^640.0
739^MFR     ^640.0
740^CIX     ^640.0
741^TUC     ^640.0
742^MRY     ^640.0
743^QRO     ^630.0
744^IXZ     ^630.0
745^SXR     ^630.0
746^LAN     ^630.0
747^DRO     ^630.0
748^LLA     ^620.0
749^AGS     ^620.0
750^BMI     ^620.0
751^JDH     ^620.0
752^BHJ     ^620.0
753^CFU     ^620.0
754^RMA     ^610.0
755^SSG     ^610.0
756^ARH     ^610.0
757^SBZ     ^610.0
758^TGZ     ^610.0
759^TIF     ^600.0
760^GYN     ^600.0
761^CFE     ^600.0
762^DNK     ^600.0
763^ITM     ^600.0
764^CUL     ^590.0
765^OUL     ^590.0
766^PIA     ^590.0
767^ECN     ^590.0
768^WNZ     ^580.0
769^ZCO     ^580.0
770^RST     ^580.0
771^BFN     ^580.0
772^UUS     ^580.0
773^VDE     ^580.0
774^PEE     ^580.0
775^ZWS     ^570.0
776^INN     ^570.0
777^MOT     ^570.0
778^SCO     ^570.0
779^IXR     ^570.0
780^TKU     ^570.0
781^AJF     ^570.0
782^OAJ     ^560.0
783^RVN     ^560.0
784^CGQ     ^560.0
785^EGE     ^560.0
786^EYP     ^560.0
787^MSO     ^560.0
788^WUH     ^560.0
789^DLM     ^560.0
790^HHH     ^550.0
791^FNA     ^550.0
792^SXF     ^550.0
793^ADE     ^550.0
794^CJS     ^550.0
795^HDY     ^550.0
796^YQT     ^550.0
797^ASP     ^550.0
798^DIY     ^540.0
799^QKL     ^540.0
800^QSF     ^540.0
801^ISP     ^540.0
802^AXM     ^540.0
803^VOG     ^540.0
804^TER     ^540.0
805^EVV     ^530.0
806^MLH     ^530.0
807^SBN     ^530.0
808^BQN     ^530.0
809^YQM     ^530.0
810^RTM     ^530.0
811^NLA     ^530.0
812^RNS     ^530.0
813^BGR     ^530.0
814^SKT     ^520.0
815^PMR     ^520.0
816^OSD     ^520.0
817^ASW     ^520.0
818^ISA     ^520.0
819^MQP     ^520.0
820^LNK     ^520.0
821^NTL     ^510.0
822^MOV     ^510.0
823^LGQ     ^510.0
824^ROK     ^510.0
825^KIM     ^510.0
826^CAY     ^510.0
827^IMF     ^510.0
828^IKT     ^510.0
829^LPQ     ^510.0
830^YYG     ^500.0
831^SOU     ^500.0
832^BNS     ^500.0
833^VLI     ^500.0
834^YNB     ^500.0
835^ORK     ^500.0
836^GCI     ^500.0
837^MLN     ^500.0
838^FNT     ^500.0
839^AAR     ^500.0
840^MGM     ^500.0
841^MUN     ^500.0
842^ARI     ^490.0
843^KIS     ^490.0
844^ZLO     ^490.0
845^NVA     ^490.0
846^TRI     ^480.0
847^KGS     ^480.0
848^RCH     ^480.0
849^JNU     ^480.0
850^MWZ     ^470.0
851^LEI     ^470.0
852^RAR     ^470.0
853^TPP     ^470.0
854^BFL     ^470.0
855^TRC     ^460.0
856^DLH     ^460.0
857^NIM     ^460.0
858^KSC     ^450.0
859^YXU     ^450.0
860^DZA     ^450.0
861^CFS     ^450.0
862^TET     ^450.0
863^LSC     ^450.0
864^ELQ     ^450.0
865^JKH     ^450.0
866^KTW     ^440.0
867^SBW     ^440.0
868^UKK     ^440.0
869^TCQ     ^440.0
870^KSU     ^440.0
871^AXU     ^440.0
872^YFC     ^440.0
873^SKB     ^440.0
874^OKA     ^440.0
875^DVO     ^430.0
876^NQN     ^430.0
877^TLC     ^430.0
878^SDR     ^430.0
879^DYU     ^430.0
880^CPE     ^420.0
881^HTI     ^420.0
882^AZO     ^420.0
883^LNZ     ^420.0
884^LVI     ^420.0
885^TAM     ^420.0
886^SLW     ^410.0
887^DGO     ^410.0
888^POL     ^410.0
889^EMD     ^410.0
890^RDM     ^410.0
891^GTF     ^410.0
892^SBH     ^410.0
893^LDB     ^410.0
894^BON     ^410.0
895^BRO     ^410.0
896^CME     ^410.0
897^IBE     ^410.0
898^FBM     ^410.0
899^MLU     ^400.0
900^MUB     ^400.0
901^NJF     ^400.0
902^TIR     ^400.0
903^PUY     ^400.0
904^TMP     ^400.0
905^SPN     ^400.0
906^GET     ^400.0
907^BME     ^400.0
908^FMO     ^400.0
909^NUX     ^400.0
910^LXR     ^400.0
911^BHI     ^390.0
912^LTN     ^390.0
913^TBP     ^390.0
914^SDL     ^390.0
915^IPC     ^390.0
916^JUL     ^390.0
917^CSX     ^390.0
918^ROT     ^390.0
919^ADQ     ^390.0
920^LBU     ^390.0
921^TVC     ^390.0
922^ETH     ^390.0
923^UBP     ^390.0
924^ELM     ^380.0
925^MEC     ^380.0
926^KBR     ^380.0
927^BJR     ^380.0
928^NPE     ^380.0
929^ITH     ^380.0
930^LST     ^380.0
931^NBC     ^380.0
932^IVL     ^370.0
933^IXS     ^370.0
934^RKT     ^370.0
935^VUP     ^370.0
936^CPR     ^370.0
937^DHN     ^370.0
938^FLO     ^370.0
939^YNT     ^370.0
940^ROB     ^370.0
941^RZE     ^360.0
942^EIS     ^360.0
943^LAE     ^360.0
944^PDP     ^360.0
945^YNJ     ^360.0
946^YQQ     ^360.0
947^OCC     ^360.0
948^FRO     ^360.0
949^MRA     ^360.0
950^NPL     ^360.0
951^HRB     ^360.0
952^SYX     ^350.0
953^RTB     ^350.0
954^BHE     ^350.0
955^EJA     ^350.0
956^EAS     ^350.0
957^FLG     ^350.0
958^SEB     ^350.0
959^VXE     ^350.0
960^ASR     ^350.0
961^YUM     ^350.0
962^CPC     ^340.0
963^BET     ^340.0
964^SCE     ^340.0
965^YQU     ^340.0
966^TNA     ^340.0
967^AJL     ^340.0
968^LYR     ^340.0
969^STX     ^340.0
970^SMI     ^340.0
971^CIT     ^340.0
972^EOH     ^340.0
973^CJU     ^340.0
974^PAZ     ^340.0
975^HFT     ^340.0
976^JIB     ^330.0
977^YXS     ^330.0
978^TSN     ^330.0
979^NWI     ^330.0
980^TOF     ^330.0
981^BEL     ^330.0
982^CSG     ^330.0
983^KKN     ^330.0
984^HME     ^330.0
985^YCD     ^330.0
986^BWN     ^320.0
987^STN     ^320.0
988^SWF     ^320.0
989^HGU     ^320.0
990^SAF     ^320.0
991^MZL     ^320.0
992^ALH     ^320.0
993^EVE     ^320.0
994^GFK     ^320.0
995^GND     ^320.0
996^EWN     ^320.0
997^XER     ^310.0
998^IXA     ^310.0
999^TWU     ^310.0
1000^LEA     ^310.0
1001^XFW     ^310.0
1002^KZO     ^310.0
1003^VFA     ^310.0
1004^GGT     ^310.0
1005^GZT     ^310.0
1006^KUO     ^310.0
1007^ABS     ^310.0
1008^AKX     ^310.0
1009^HRL     ^310.0
1010^PEM     ^300.0
1011^MLM     ^300.0
1012^RNB     ^300.0
1013^ASF     ^300.0
1014^YZF     ^300.0
1015^LYH     ^300.0
1016^ABX     ^300.0
1017^SFT     ^300.0
1018^PLQ     ^300.0
1019^IXL     ^300.0
1020^NJC     ^300.0
1021^PQQ     ^300.0
1022^SBP     ^300.0
1023^VIL     ^300.0
1024^VLD     ^300.0
1025^MQX     ^300.0
1026^CWA     ^290.0
1027^ABT     ^290.0
1028^CLY     ^290.0
1029^SGC     ^290.0
1030^PPG     ^290.0
1031^REX     ^290.0
1032^CJA     ^290.0
1033^INV     ^290.0
1034^LFW     ^290.0
1035^VGA     ^290.0
1036^BHH     ^290.0
1037^PIX     ^290.0
1038^BUS     ^290.0
1039^VBY     ^290.0
1040^FSM     ^290.0
1041^TZX     ^290.0
1042^IXJ     ^290.0
1043^UDI     ^280.0
1044^WGA     ^280.0
1045^UTH     ^280.0
1046^BTU     ^280.0
1047^LOP     ^280.0
1048^SLZ     ^280.0
1049^ATZ     ^280.0
1050^AGH     ^280.0
1051^YXJ     ^280.0
1052^NDJ     ^280.0
1053^LXS     ^280.0
1054^ERI     ^280.0
1055^ISN     ^270.0
1056^WEH     ^270.0
1057^STD     ^270.0
1058^UTN     ^270.0
1059^BGM     ^270.0
1060^UAQ     ^270.0
1061^LAO     ^270.0
1062^YIW     ^270.0
1063^TPS     ^270.0
1064^MAM     ^270.0
1065^ASM     ^270.0
1066^FRS     ^270.0
1067^NOZ     ^270.0
1068^YYD     ^270.0
1069^KEJ     ^260.0
1070^CGR     ^260.0
1071^TCO     ^260.0
1072^BPS     ^260.0
1073^NSN     ^260.0
1074^PSS     ^260.0
1075^AXD     ^260.0
1076^KTT     ^260.0
1077^SDD     ^260.0
1078^DIB     ^260.0
1079^LSP     ^260.0
1080^NDR     ^260.0
1081^KAO     ^260.0
1082^ASB     ^260.0
1083^ISU     ^260.0
1084^HDN     ^260.0
1085^SYZ     ^250.0
1086^LPI     ^250.0
1087^CMI     ^250.0
1088^BNN     ^250.0
1089^KNX     ^250.0
1090^VVC     ^250.0
1091^PNA     ^250.0
1092^TAP     ^250.0
1093^KTN     ^250.0
1094^PGF     ^250.0
1095^YSB     ^250.0
1096^IDA     ^250.0
1097^MUX     ^250.0
1098^AQJ     ^240.0
1099^NGB     ^240.0
1100^NLK     ^240.0
1101^CEN     ^240.0
1102^JUJ     ^240.0
1103^HMB     ^240.0
1104^MTT     ^240.0
